player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,total_fgm,assisted_fgm,unassisted_fgm,ppg,rpg,apg
1630639,A.J. Lawson,TOR,27,14,6,1,0,0,32.0,14.0,13,5,78.0,34.0,33.0,1.0,4.2,1.8,0.3
1631260,AJ Green,MIL,19,11,19,10,26,9,152.0,74.0,402,158,618.0,262.0,236.0,26.0,10.4,2.7,1.9
1642358,AJ Johnson,DAL,77,33,38,12,4,0,11.0,3.0,46,9,176.0,57.0,25.0,32.0,3.3,1.1,1.0
203932,Aaron Gordon,DEN,129,97,62,20,50,20,46.0,20.0,111,41,398.0,198.0,140.0,58.0,16.2,5.8,2.7
1628988,Aaron Holiday,HOU,22,13,44,21,16,4,53.0,25.0,117,42,252.0,105.0,72.0,33.0,5.5,1.0,1.1
1630174,Aaron Nesmith,IND,95,50,83,33,57,24,80.0,35.0,197,70,512.0,212.0,188.0,24.0,13.8,4.2,1.9
1630598,Aaron Wiggins,OKC,151,91,90,35,25,9,84.0,31.0,186,65,536.0,231.0,157.0,74.0,9.4,3.1,1.7
1642846,Ace Bailey,UTA,177,119,119,67,198,72,112.0,35.0,286,102,892.0,395.0,301.0,94.0,13.8,4.2,1.8
1642380,Adama Bal,MEM,12,8,9,2,3,0,14.0,5.0,30,13,68.0,28.0,22.0,6.0,10.4,3.1,2.4
1641737,Adem Bona,PHI,184,118,29,11,1,0,5.0,1.0,1,1,220.0,131.0,78.0,53.0,4.8,4.3,0.5
1642876,Adou Thiero,LAL,20,13,8,2,0,0,0.0,0.0,3,1,31.0,16.0,14.0,2.0,1.9,1.1,0.4
1642349,Ajay Mitchell,OKC,170,113,197,99,47,13,50.0,21.0,126,40,590.0,286.0,121.0,165.0,13.6,3.3,3.6
201143,Al Horford,GSW,46,29,57,28,16,7,48.0,18.0,157,56,324.0,138.0,118.0,20.0,8.3,4.9,2.6
1630828,Alex Antetokounmpo,MIL,0,0,0,0,1,1,3.0,1.0,4,1,8.0,3.0,3.0,0.0,3.2,1.0,0.2
1627936,Alex Caruso,OKC,80,59,30,9,9,6,82.0,19.0,99,34,300.0,127.0,103.0,24.0,6.2,2.8,2.0
1631457,Alex Morales,ORL,4,2,1,0,1,1,1.0,0.0,0,0,7.0,3.0,0.0,3.0,2.0,0.8,1.0
1642259,Alex Sarr,WAS,230,162,206,81,70,23,11.0,4.0,139,46,656.0,316.0,225.0,91.0,16.3,7.4,2.7
1642918,Alijah Martin,TOR,17,8,11,4,1,0,5.0,0.0,16,4,50.0,16.0,11.0,5.0,2.2,0.9,0.5
1631214,Alondes Williams,WAS,10,10,1,1,1,0,4.0,1.0,10,4,26.0,16.0,13.0,3.0,11.0,6.3,3.0
1630578,Alperen Sengun,HOU,436,297,446,207,110,39,7.0,3.0,124,37,1123.0,583.0,262.0,321.0,20.4,8.9,6.2
1642873,Amari Williams,BOS,14,9,5,1,1,0,0.0,0.0,0,0,20.0,10.0,8.0,2.0,1.4,1.8,0.5
1641708,Amen Thompson,HOU,509,365,311,137,108,30,71.0,17.0,44,8,1043.0,557.0,306.0,251.0,18.3,7.8,5.3
1629599,Amir Coffey,PHX,23,20,23,9,18,9,25.0,8.0,24,9,113.0,55.0,38.0,17.0,3.2,1.2,0.6
1643158,Andersson Garcia,UTA,11,5,5,3,0,0,5.0,0.0,8,1,29.0,9.0,6.0,3.0,5.2,8.4,2.8
203083,Andre Drummond,PHI,196,106,47,21,4,0,77.0,29.0,13,3,337.0,159.0,96.0,63.0,6.4,8.4,1.3
1641748,Andre Jackson Jr.,MIL,33,19,22,5,4,0,26.0,6.0,34,9,119.0,39.0,27.0,12.0,2.4,1.5,0.9
1629614,Andrew Nembhard,IND,134,84,144,70,179,72,26.0,6.0,270,101,753.0,333.0,151.0,182.0,16.9,2.8,7.7
203952,Andrew Wiggins,MIA,226,150,163,61,99,41,84.0,40.0,249,98,821.0,390.0,246.0,144.0,15.4,4.8,2.7
1629014,Anfernee Simons,CHI,59,40,108,59,102,40,37.0,16.0,342,130,648.0,285.0,126.0,159.0,14.3,2.5,2.4
1641710,Anthony Black,ORL,257,170,157,57,58,18,91.0,36.0,208,63,771.0,344.0,228.0,116.0,15.0,3.8,3.7
203076,Anthony Davis,WAS,141,93,82,38,74,28,6.0,2.0,31,8,334.0,169.0,98.0,71.0,20.4,11.1,2.8
1630162,Anthony Edwards,MIN,272,194,207,100,238,103,52.0,24.0,462,181,1231.0,602.0,235.0,367.0,28.8,5.0,3.7
1630264,Anthony Gill,WAS,110,92,50,21,7,5,19.0,8.0,29,9,215.0,135.0,104.0,31.0,5.8,2.9,1.3
1641810,Antonio Reeves,CHA,4,2,1,0,2,1,6.0,4.0,7,3,20.0,10.0,9.0,1.0,2.7,0.8,0.3
1630574,Ariel Hukporti,NYK,49,36,26,8,1,0,0.0,0.0,4,1,80.0,45.0,39.0,6.0,2.2,2.9,0.5
1642854,Asa Newell,ATL,75,52,19,10,0,0,48.0,19.0,27,10,169.0,91.0,71.0,20.0,5.2,2.2,0.6
1641709,Ausar Thompson,DET,318,212,197,75,38,10,13.0,3.0,11,3,577.0,303.0,191.0,112.0,9.9,5.7,3.1
1630559,Austin Reaves,LAL,176,132,210,103,48,20,46.0,19.0,282,99,762.0,373.0,164.0,209.0,23.3,4.7,5.5
1630245,Ayo Dosunmu,MIN,313,195,120,51,34,17,79.0,33.0,200,89,746.0,385.0,249.0,136.0,14.8,3.4,3.6
1628389,Bam Adebayo,MIA,287,196,327,136,131,47,132.0,42.0,268,85,1145.0,506.0,354.0,152.0,20.1,10.0,3.2
1631248,Baylor Scheierman,BOS,28,20,39,21,23,13,88.0,42.0,155,55,333.0,151.0,129.0,22.0,5.5,3.5,1.5
1642879,Ben Saraf,BKN,129,74,77,27,7,0,17.0,3.0,73,16,303.0,120.0,52.0,68.0,7.5,2.1,3.3
1641767,Ben Sheppard,IND,105,64,27,11,23,9,84.0,33.0,148,51,387.0,168.0,145.0,23.0,7.1,3.0,1.8
1631097,Bennedict Mathurin,LAC,189,122,129,46,121,48,37.0,18.0,201,57,677.0,291.0,172.0,119.0,17.6,5.4,2.4
1643016,Bez Mbeng,UTA,43,30,26,14,0,0,12.0,0.0,19,6,100.0,50.0,36.0,14.0,8.1,3.8,4.1
1641731,Bilal Coulibaly,WAS,188,122,109,30,40,13,70.0,31.0,134,34,541.0,230.0,127.0,103.0,11.7,4.3,2.6
202687,Bismack Biyombo,SAS,11,8,4,1,0,0,0.0,0.0,0,0,15.0,9.0,7.0,2.0,0.9,1.0,0.2
1642396,Blake Hinson,UTA,22,16,6,3,8,3,33.0,21.0,46,16,115.0,59.0,54.0,5.0,11.9,2.4,1.1
1631104,Blake Wesley,POR,54,38,18,5,16,3,10.0,3.0,26,7,124.0,56.0,28.0,28.0,4.8,1.3,2.0
1626171,Bobby Portis Jr.,MIL,101,66,139,64,214,101,118.0,57.0,178,78,750.0,366.0,277.0,89.0,13.7,6.4,1.6
1641752,Bobi Klintman,DET,6,3,6,2,2,0,4.0,0.0,9,4,27.0,9.0,8.0,1.0,1.8,1.6,0.5
203992,Bogdan Bogdanović,LAC,20,11,19,7,18,8,11.0,6.0,84,27,152.0,59.0,28.0,31.0,7.4,2.6,2.2
1630538,Bones Hyland,MIN,103,67,31,13,35,16,48.0,23.0,251,93,468.0,212.0,121.0,91.0,8.5,1.8,2.6
203078,Bradley Beal,LAC,9,6,12,3,8,2,4.0,1.0,15,6,48.0,18.0,15.0,3.0,8.2,0.8,1.7
1642382,Branden Carlson,OKC,79,61,19,6,2,0,15.0,5.0,71,26,186.0,98.0,87.0,11.0,5.8,3.0,0.7
1641764,Brandin Podziemski,GSW,171,118,170,79,113,44,63.0,37.0,349,116,866.0,394.0,258.0,136.0,13.8,5.1,3.7
1629634,Brandon Clarke,MEM,5,2,4,1,0,0,0.0,0.0,0,0,9.0,3.0,2.0,1.0,4.0,3.0,0.5
1627742,Brandon Ingram,TOR,221,149,295,133,418,197,92.0,48.0,262,87,1288.0,614.0,329.0,285.0,21.5,5.6,3.7
1641706,Brandon Miller,CHA,156,105,244,104,111,41,69.0,30.0,464,174,1044.0,454.0,285.0,169.0,20.2,4.9,3.3
1630314,Brandon Williams,DAL,250,160,147,66,65,29,42.0,9.0,112,27,616.0,291.0,111.0,180.0,13.0,2.9,3.9
1641729,Brice Sensabaugh,UTA,135,94,194,101,86,37,108.0,51.0,334,111,857.0,394.0,288.0,106.0,14.9,3.1,1.9
1642355,Bronny James,LAL,16,13,20,6,22,6,8.0,2.0,49,20,115.0,47.0,30.0,17.0,2.9,0.5,1.2
201572,Brook Lopez,LAC,92,58,96,47,37,13,47.0,21.0,270,93,542.0,232.0,185.0,47.0,8.5,3.6,1.3
1642964,Brooks Barnhizer,OKC,23,13,16,4,8,3,12.0,5.0,12,2,71.0,27.0,17.0,10.0,1.7,2.0,0.6
1628971,Bruce Brown,DEN,212,143,126,38,36,10,82.0,37.0,66,20,522.0,248.0,160.0,88.0,7.9,3.9,2.1
1631121,Bryce McGowens,NOP,89,51,44,21,11,4,41.0,17.0,52,21,237.0,114.0,81.0,33.0,8.1,2.1,1.5
1642267,Bub Carrington,WAS,57,28,97,38,173,79,56.0,23.0,358,146,741.0,314.0,160.0,154.0,10.7,3.4,4.6
1631205,Buddy Boeheim,OKC,0,0,0,0,0,0,4.0,2.0,2,0,6.0,2.0,2.0,0.0,1.5,0.0,0.0
1627741,Buddy Hield,ATL,69,51,20,10,26,8,51.0,20.0,161,54,327.0,143.0,110.0,33.0,7.6,2.3,1.4
1643047,CJ Huntley,PHX,7,5,0,0,1,1,1.0,0.0,2,0,11.0,6.0,6.0,0.0,3.0,1.3,0.5
203468,CJ McCollum,ATL,203,127,232,109,209,98,78.0,28.0,432,163,1154.0,525.0,243.0,282.0,18.7,3.3,3.9
1630595,Cade Cunningham,DET,311,196,331,139,181,88,18.0,7.0,348,118,1189.0,548.0,184.0,364.0,23.9,5.5,9.9
1631216,Caleb Houstan,ATL,3,2,1,0,1,1,7.0,4.0,14,7,26.0,14.0,14.0,0.0,2.3,0.6,0.2
1631126,Caleb Love,POR,90,54,68,25,40,18,37.0,8.0,255,85,490.0,190.0,117.0,73.0,10.4,2.3,2.5
1628997,Caleb Martin,DAL,68,47,34,9,30,9,38.0,14.0,19,6,189.0,85.0,56.0,29.0,3.9,2.5,1.4
1642353,Cam Christie,LAC,43,26,37,9,10,6,14.0,5.0,35,7,139.0,53.0,42.0,11.0,2.8,1.4,0.6
1642285,Cam Spencer,MEM,44,29,102,46,85,42,34.0,17.0,291,129,556.0,263.0,162.0,101.0,11.1,2.5,5.6
1630560,Cam Thomas,MIL,75,43,110,50,108,44,23.0,8.0,144,44,460.0,189.0,75.0,114.0,13.5,1.7,2.6
1641715,Cam Whitmore,WAS,73,52,26,5,14,4,4.0,0.0,52,16,169.0,77.0,46.0,31.0,9.2,2.8,0.7
1629661,Cameron Johnson,DEN,114,79,58,21,47,18,91.0,44.0,165,66,475.0,228.0,188.0,40.0,12.2,3.8,2.4
1626166,Cameron Payne,PHI,20,10,23,11,9,3,4.0,1.0,93,31,149.0,56.0,23.0,33.0,7.4,2.0,2.6
1627747,Caris LeVert,DET,99,61,80,30,32,12,40.0,17.0,140,43,391.0,163.0,92.0,71.0,7.4,2.0,2.7
