,mean,std,skew,kurtosis,min,q25,median,q75,max
shot_diversity,0.8321,0.1367,-2.3243,6.3024,0.0473,0.8098,0.8711,0.9133,0.9937
pct_fga_midrange,0.0885,0.0711,1.5405,3.5721,0.0000,0.0348,0.0693,0.1251,0.4846
pct_fga_rim,0.3006,0.1701,1.2561,1.7204,0.0084,0.1841,0.2682,0.3713,0.9854
fgpct_corner3,0.3827,0.1253,1.0544,8.1320,0.0000,0.3333,0.3864,0.4375,1.0000
fgpct_above_break3,0.3317,0.0914,0.9004,18.7409,0.0000,0.3069,0.3426,0.3698,1.0000
pct_fga_corner3,0.1180,0.0824,0.7880,0.4735,0.0000,0.0545,0.1039,0.1757,0.4412
pct_fga_paint_non_ra,0.1928,0.0858,0.7314,1.2856,0.0042,0.1281,0.1883,0.2425,0.5792
unassisted_fga_rate,0.1610,0.0750,0.4578,-0.1750,0.0042,0.1017,0.1527,0.2163,0.4444
pct_assisted,0.6592,0.1548,-0.4303,-0.4453,0.1970,0.5587,0.6793,0.7842,0.9896
fgpct_paint_non_ra,0.4286,0.0894,0.3472,5.4894,0.0000,0.3758,0.4324,0.4787,1.0000
fgpct_rim,0.6587,0.0748,-0.3346,0.6510,0.4000,0.6157,0.6612,0.7077,0.8621
fgpct_midrange,0.3862,0.1255,-0.2078,2.5182,0.0000,0.3259,0.4000,0.4583,1.0000
pct_fga_above_break3,0.3001,0.1526,-0.1334,-0.4277,0.0000,0.2054,0.3073,0.4080,0.6772
